Strain,Category2,Organism-Roary,BapsOne,BapsTwo,Bazinet-Species,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,Cereulide,bceT,Cytk1,Combined
c-NBCE0070,EnvironmentalNICU,Bacillus. glycinifermentans,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0071,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0072,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0073,EnvironmentalNICU,Bacillus. glycinifermentans,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0074,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0075,EnvironmentalNICU,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0076,EnvironmentalNICU,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0077,EnvironmentalNICU,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0078,EnvironmentalNICU,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0079,EnvironmentalNICU,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0080,EnvironmentalNICU,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0081,EnvironmentalNICU,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0082,EnvironmentalNICU,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0083,EnvironmentalNICU,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0084,EnvironmentalNICU,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0085,EnvironmentalNICU,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0086,EnvironmentalNICU,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0087,EnvironmentalNICU,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,bceT,,Combined
c-NBCE0088,EnvironmentalNICU,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0089,EnvironmentalNICU,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,bceT,,Combined
c-NBCE0090,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0091,EnvironmentalNICU,Bacillus cereus,4,18,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0092,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0093,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0094,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0095,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0096,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0097,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0098,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,HBL,EntFM,,,Cytk1,Combined
c-NBCE0099,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0100,EnvironmentalNICU,Bacillus cereus,7,29,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0101,EnvironmentalNICU,Bacillus cereus,7,29,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0102,EnvironmentalNICU,Bacillus cereus,7,29,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0103,EnvironmentalNICU,Bacillus cereus,7,29,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0104,EnvironmentalNICU,Bacillus cereus,7,29,Phenotypic Bacillus cereus,PhospholipaseC,,,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0105,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0106,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,bceT,Cytk1,Combined
c-NBCE0107,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0108,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,,Combined
c-NBCE0109,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,bceT,Cytk1,Combined
c-NBCE0110,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0111,EnvironmentalNICU,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0112,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0113,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0114,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0454,EnvironmentalWard,Bacillus cereus,10,42,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,,Combined
c-NBCE0687,EnvironmentalWard,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0738,EnvironmentalWard,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0739,EnvironmentalWard,Bacillus cereus,7,34,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,,,,,,Combined
c-NBCE0740,EnvironmentalWard,Bacillus cereus,7,34,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,,,,,,Combined
c-NBCE0741,EnvironmentalWard,Bacillus cereus,7,34,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,HBL,,,,,Combined
c-NBCE0002,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,,,Cereulide,,,Combined
c-NBCE0003,MilkPostPasteurization,Bacillus cereus,3,13,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0004,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0005,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0006,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0007,MilkPostPasteurization,Bacillus cereus,3,13,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0008,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0009,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0010,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0011,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0012,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0013,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0014,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0050,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0051,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0052,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0053,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0054,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0166,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0167,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0168,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0169,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0170,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0171,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0172,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0173,MilkPostPasteurization,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0174,MilkPostPasteurization,Bacillus cereus,7,30,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0175,MilkPostPasteurization,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0176,MilkPostPasteurization,Bacillus cereus,7,30,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0177,MilkPostPasteurization,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0245,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0246,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0247,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0248,MilkPostPasteurization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0249,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0250,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0251,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0252,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0253,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0314,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0316,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0317,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0318,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0319,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0320,MilkPostPasteurization,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0436,MilkPostPasteurization,Bacillus cereus,3,13,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0437,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0438,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0439,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0440,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0441,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0442,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0443,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0444,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0445,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0446,MilkPostPasteurization,,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0447,MilkPostPasteurization,,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0448,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0449,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0450,MilkPostPasteurization,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0470,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0471,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0472,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0473,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0474,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,Cereulide,,,Combined
c-NBCE0504,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0527,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0528,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0529,MilkPostPasteurization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0530,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0531,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0532,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0543,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0544,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0545,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0546,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0547,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0548,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0549,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0550,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0551,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0552,MilkPostPasteurization,Bacillus cereus,2,9,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0553,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0567,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0575,MilkPostPasteurization,Bacillus cereus,2,10,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0576,MilkPostPasteurization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0577,MilkPostPasteurization,Bacillus cereus,1,6,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0578,MilkPostPasteurization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0579,MilkPostPasteurization,Bacillus cereus,2,10,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0580,MilkPostPasteurization,Bacillus cereus,2,10,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0597,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0599,MilkPostPasteurization,Bacillus cereus,13,51,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0601,MilkPostPasteurization,Bacillus cereus,13,51,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0607,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0612,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0615,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0616,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0617,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0618,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0619,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0620,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0621,MilkPostPasteurization,Bacillus cereus,3,13,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0622,MilkPostPasteurization,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
